TIMESTAMP,BBM_EBOX_OUT_VOLTAGE_MEASURED,STATOR_AND_MAIN_BATT_IN_VOLTAGE_MEASURED,BBM_WINCH_OUT_VOLTAGE_MEASURED,STATOR_TO_BBM_CURRENT_MEASURED,MAIN_BATT_TO_BBM_CURRENT_MEASURED,BBM_TO_WINCH_AND_BATT_CURRENT_MEASURED,WINCH_BATT_AND_BBM_TO_WINCH_CURRENT_MEASURED,BBM_TO_EBOX_CURRENT_MEASURED
2018-02-22T11-30-12_0014,11.85,12.08,11.85,0.07,0.21,0.10,0.05,0.17
2018-02-22T11-30-12_0015,11.83,12.09,11.85,0.05,0.31,0.09,-0.02,0.38
2018-02-22T11-30-12_0016,11.85,12.09,11.83,0.06,0.22,0.10,0.02,0.18
2018-02-22T11-30-13_0000,11.84,12.07,11.85,0.09,0.41,0.07,0.00,0.18
2018-02-22T11-30-13_0001,11.84,12.09,11.85,0.06,0.22,0.08,0.05,0.48
2018-02-22T11-30-13_0002,11.85,12.08,11.84,0.06,0.21,0.08,-0.05,0.21
2018-02-22T11-30-13_0003,11.83,12.08,11.85,0.06,0.49,0.10,-0.02,0.23
2018-02-22T11-30-13_0004,11.85,12.09,11.85,0.08,0.21,0.11,0.00,0.31
2018-02-22T11-30-13_0005,11.84,12.07,11.84,0.08,0.40,0.09,-0.02,0.18
2018-02-22T11-30-13_0006,11.84,12.09,11.84,0.08,0.20,0.06,0.05,0.24
2018-02-22T11-30-13_0007,11.85,12.10,11.85,0.05,0.21,0.12,0.09,0.21
2018-02-22T11-30-13_0008,11.83,12.08,11.85,0.09,0.37,0.10,0.02,0.32
2018-02-22T11-30-13_0009,11.85,12.10,11.85,0.08,0.20,0.06,0.07,0.18
2018-02-22T11-30-13_0010,11.84,12.07,11.85,0.06,0.43,0.11,0.00,0.21
2018-02-22T11-30-13_0011,11.84,12.08,11.85,0.07,0.23,0.10,-0.07,0.24
2018-02-22T11-30-13_0012,11.85,12.08,11.85,0.09,0.28,0.08,0.05,0.18
2018-02-22T11-30-13_0013,11.84,12.09,11.85,0.09,0.20,0.06,0.02,0.33
2018-02-22T11-30-13_0014,11.85,12.10,11.85,0.09,0.21,0.11,0.05,0.22
2018-02-22T11-30-13_0015,11.84,12.09,11.84,0.05,0.19,0.07,0.02,0.23
2018-02-22T11-30-13_0016,11.84,12.08,11.85,0.08,0.48,0.11,-0.05,0.18
2018-02-22T11-30-13_0017,11.84,12.09,11.85,0.08,0.22,0.10,0.00,0.46
2018-02-22T11-30-14_0000,11.85,12.11,11.84,0.09,0.20,0.07,0.02,0.17
